IBOVESPA - 2024
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;128.481,02;129.180,37;126.990,45;;;124.718,07;127.395,10;;132.495,16;128.120,75;
2;132.696,63;127.182,25;;127.548,52;127.122,25;;124.787,08;125.854,09;134.906,07;133.514,94;;125.235,54
3;132.833,95;;;127.318,39;128.508,67;122.031,58;125.661,89;;134.353,48;131.671,51;;126.139,20
4;131.225,91;;128.340,54;127.427,53;;121.802,06;126.163,98;;136.110,73;131.791,55;130.514,79;126.087,02
5;132.022,92;127.593,49;128.098,11;126.795,41;;121.407,33;126.267,05;125.269,54;136.502,49;;130.660,75;127.857,58
6;;130.416,31;128.890,23;;128.465,69;122.898,80;;126.266,70;134.572,45;;130.340,92;125.945,67
7;;129.949,90;128.339,76;;129.210,48;120.767,19;;127.513,88;;132.017,84;129.681,70;
8;132.426,54;128.216,92;127.070,79;128.857,16;129.480,89;;126.548,34;128.660,88;;131.511,73;127.829,80;
9;131.446,59;128.025,70;;129.890,37;128.188,34;;127.108,22;130.614,59;134.737,21;129.962,06;;127.210,19
10;130.841,09;;;128.053,74;127.599,57;120.759,51;127.218,24;;134.319,58;130.352,86;;128.228,49
11;130.648,75;;126.123,56;127.396,35;;121.635,06;128.293,61;;134.676,75;129.992,29;127.873,70;129.593,31
12;130.987,67;;127.667,84;125.946,09;;119.936,02;128.896,98;131.115,90;134.029,43;;127.698,32;126.042,21
13;;;128.006,05;;128.154,79;119.567,53;;132.397,97;134.881,95;;127.733,88;124.612,22
14;;127.018,29;127.689,97;;128.515,49;119.662,38;;133.317,66;;131.005,25;127.791,60;
15;131.520,91;127.804,13;126.741,81;125.333,89;128.027,59;;129.320,96;134.153,42;;131.043,27;;
16;129.294,04;128.725,88;;124.388,62;128.283,62;;129.110,38;133.953,25;135.118,22;131.749,72;;123.560,06
17;128.523,83;;;124.171,15;128.150,71;119.137,86;129.450,32;;134.960,19;130.793,41;;124.698,04
18;127.315,74;;126.954,18;124.196,18;;119.630,44;127.652,06;;133.747,69;130.499,26;127.768,19;120.771,88
19;127.635,65;129.035,74;127.528,85;125.124,30;;120.261,34;127.616,46;135.777,98;133.122,67;;128.197,25;121.187,91
20;;129.916,11;129.124,83;;127.750,92;120.445,91;;136.087,41;131.065,44;;;122.102,15
21;;130.031,58;128.158,57;;127.411,55;121.341,13;;136.463,65;;130.361,56;126.922,11;
22;126.601,55;130.240,55;127.027,10;125.573,16;125.650,03;;127.859,63;135.173,39;;129.951,37;129.125,51;
23;128.262,52;129.418,73;;125.148,07;124.729,40;;126.589,84;135.608,47;130.568,37;129.233,11;;120.766,57
24;127.815,70;;;124.740,69;124.305,57;122.636,96;126.422,73;;132.155,76;130.066,95;;
25;128.168,73;;126.931,47;124.645,58;;122.331,39;125.954,09;;131.586,45;129.893,32;129.036,10;
26;128.967,32;129.609,05;126.863,02;126.526,27;;122.641,30;127.492,49;136.888,71;133.009,78;;129.922,38;121.077,50
27;;131.689,37;127.690,62;;124.495,68;124.307,83;;136.775,91;132.730,36;;127.668,61;120.269,31
28;;130.155,43;128.106,10;;123.779,54;123.906,55;;137.343,96;;131.212,58;124.610,41;
29;128.502,66;129.020,02;;127.351,79;122.707,28;;126.953,86;136.041,35;;130.729,93;125.667,83;
30;127.401,81;;;125.924,19;;;126.139,21;136.004,01;131.816,44;130.639,33;;120.283,40
31;127.752,28;;;;122.098,09;;127.651,81;;;129.713,33;;
MÍNIMO;126.601,55;127.018,29;126.123,56;124.171,15;122.098,09;119.137,86;124.718,07;125.269,54;130.568,37;129.233,11;124.610,41;120.269,31
MÍNIMO;132.833,95;131.689,37;129.180,37;129.890,37;129.480,89;124.307,83;129.450,32;137.343,96;136.502,49;133.514,94;130.660,75;129.593,31
