IBOVESPA - 2026
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;187.952,91;;;;;;;;
2;160.538,69;182.793,40;189.307,02;188.052,02;;;;;;;;
3;;185.674,43;183.104,87;;;;;;;;;
4;;181.708,23;185.366,44;;185.600,12;;;;;;;
5;161.869,76;182.127,25;180.463,84;;186.753,82;;;;;;;
6;163.663,88;182.949,78;179.364,82;188.161,97;187.690,86;;;;;;;
7;161.975,24;;;188.258,91;183.218,26;;;;;;;
8;162.936,48;;;192.201,16;184.108,29;;;;;;;
9;163.370,31;186.241,15;180.915,36;195.129,25;;;;;;;;
10;;185.929,33;183.447,00;197.323,87;;;;;;;;
11;;189.699,12;183.969,35;;181.908,87;;;;;;;
12;163.150,35;187.766,42;179.284,49;;180.342,33;;;;;;;
13;161.973,05;186.464,30;177.653,31;198.000,71;177.098,29;;;;;;;
14;165.145,98;;;198.657,33;178.365,86;;;;;;;
15;165.568,32;;;197.737,61;177.283,83;;;;;;;
16;164.799,98;;179.875,44;196.818,59;;;;;;;;
17;;;180.409,73;195.733,51;;;;;;;;
18;;186.016,31;179.639,91;;176.975,82;;;;;;;
19;164.849,27;188.534,42;180.270,62;;174.278,86;;;;;;;
20;166.276,90;190.534,42;176.219,40;196.132,06;177.355,73;;;;;;;
21;171.816,67;;;;177.649,86;;;;;;;
22;175.589,35;;;192.888,96;176.209,61;;;;;;;
23;178.858,54;188.853,49;181.931,93;191.378,43;;;;;;;;
24;;191.490,40;182.509,14;190.745,02;;;;;;;;
25;;191.247,46;185.424,28;;;;;;;;;
26;178.720,68;191.005,02;182.732,67;;;;;;;;;
27;181.919,13;188.786,98;181.556,76;189.578,79;;;;;;;;
28;184.691,05;;;188.618,69;;;;;;;;
29;183.133,75;;;184.750,42;;;;;;;;
30;181.363,90;;182.514,20;187.317,64;;;;;;;;
31;;;187.461,84;;;;;;;;;
MÍNIMO;160.538,69;181.708,23;176.219,40;184.750,42;174.278,86;;;;;;;
MÍNIMO;184.691,05;191.490,40;189.307,02;198.657,33;187.690,86;;;;;;;
