date,open,high,low,closed,return
2010-01-05,1.722,1.732,1.718,1.731,0.006395348837209269
2010-01-06,1.734,1.739,1.728,1.739,0.0046216060080879195
2010-01-07,1.74,1.749,1.738,1.745,0.0034502587694076325
2010-01-08,1.749,1.752,1.728,1.73,-0.008595988538682042
2010-01-11,1.722,1.74,1.717,1.736,0.003468208092485492
2010-01-12,1.748,1.749,1.74,1.748,0.00691244239631339
2010-01-13,1.745,1.76,1.736,1.76,0.006864988558352492
2010-01-14,1.761,1.772,1.761,1.765,0.0028409090909089496
2010-01-15,1.772,1.774,1.762,1.772,0.003966005665722472
2010-01-18,1.773,1.778,1.76,1.769,-0.0016930022573363734
2010-01-19,1.778,1.781,1.769,1.772,0.0016958733747880483
2010-01-20,1.785,1.795,1.783,1.793,0.011851015801354281
2010-01-21,1.794,1.806,1.783,1.801,0.004461795872838792
2010-01-22,1.8,1.832,1.798,1.815,0.007773459189339249
2010-01-25,1.808,1.825,1.804,1.82,0.0027548209366392573
2010-01-26,1.841,1.85,1.826,1.836,0.00879120879120876
2010-01-27,1.841,1.868,1.837,1.859,0.012527233115468439
2010-01-28,1.854,1.879,1.846,1.867,0.004303388918773576
2010-01-29,1.866,1.889,1.858,1.885,0.009641135511515797
2010-02-01,1.887,1.893,1.86,1.861,-0.012732095490716189
2010-02-02,1.849,1.85,1.83,1.83,-0.016657710908113854
2010-02-03,1.822,1.853,1.819,1.844,0.007650273224043769
2010-02-04,1.864,1.893,1.861,1.884,0.021691973969631073
2010-02-05,1.885,1.891,1.864,1.891,0.0037154989384289294
2010-02-08,1.875,1.889,1.865,1.874,-0.008989952406134316
2010-02-09,1.866,1.869,1.842,1.847,-0.014407684098185825
2010-02-10,1.84,1.86,1.838,1.849,0.0010828370330264736
2010-02-11,1.85,1.862,1.844,1.85,0.0005408328826392861
2010-02-12,1.866,1.872,1.859,1.859,0.004864864864864815
2010-02-17,1.845,1.845,1.828,1.828,-0.01667563206024736
2010-02-18,1.836,1.838,1.821,1.823,-0.002735229759299851
2010-02-19,1.824,1.825,1.804,1.805,-0.009873834339001686
2010-02-22,1.803,1.813,1.794,1.811,0.003324099722991747
2010-02-23,1.816,1.829,1.816,1.827,0.008834897846493606
2010-02-24,1.825,1.827,1.818,1.826,-0.0005473453749315071
2010-02-25,1.834,1.84,1.829,1.831,0.0027382256297918683
2010-02-26,1.821,1.823,1.8,1.807,-0.013107591480065572
2010-03-01,1.814,1.814,1.796,1.798,-0.004980630879911407
2010-03-02,1.79,1.791,1.781,1.782,-0.008898776418242549
2010-03-03,1.791,1.793,1.777,1.79,0.004489337822671136
2010-03-04,1.791,1.796,1.784,1.792,0.0011173184357542443
2010-03-05,1.785,1.792,1.778,1.787,-0.002790178571428603
2010-03-08,1.776,1.792,1.772,1.788,0.0005595970900951208
2010-03-09,1.797,1.801,1.779,1.782,-0.003355704697986628
2010-03-10,1.776,1.782,1.768,1.773,-0.005050505050505083
2010-03-11,1.768,1.776,1.767,1.77,-0.0016920473773265332
2010-03-12,1.759,1.77,1.759,1.765,-0.0028248587570621764
2010-03-15,1.765,1.769,1.762,1.765,0.0
2010-03-16,1.764,1.77,1.763,1.768,0.0016997167138810276
2010-03-17,1.766,1.767,1.761,1.765,-0.0016968325791856254
2010-03-18,1.778,1.791,1.775,1.789,0.013597733711048221
2010-03-19,1.797,1.802,1.79,1.799,0.005589714924538747
2010-03-22,1.803,1.814,1.798,1.8,0.0005558643690939391
2010-03-23,1.782,1.796,1.779,1.779,-0.011666666666666714
2010-03-24,1.784,1.802,1.782,1.802,0.012928611579539062
