date,open,high,low,closed,vol,return,SMA_9,SMA_21,RSI
2010-02-03,67163,67346,66774,67108,4452461568,-0.0008189032651906,66101.33333333333,68274.90476190476,41.492157348959445
2010-02-04,67100,67100,63749,63934,5750446080,-0.0472968945580258,65841.77777777778,67974.66666666667,27.04320379332451
2010-02-05,63934,64000,61341,62762,6866149376,-0.0183314042606438,65457.555555555555,67595.28571428571,23.753855496711495
2010-02-08,62759,63922,62727,63153,4571245568,0.00622988432491,65194.22222222222,67247.76190476191,26.946331062718443
2010-02-09,63163,65525,63163,64718,5783735296,0.0247810872009246,65155.22222222222,66983.76190476191,38.11534725055806
2010-02-10,64721,65169,64320,65051,4232616960,0.0051454000432646,65095.666666666664,66727.47619047618,40.21001854866288
2010-02-11,65049,66145,64344,66128,5498840064,0.0165562404882322,65176.444444444445,66539.52380952382,46.5154839523116
2010-02-12,66128,66128,64965,65854,3979614464,-0.0041434793128478,65096.77777777778,66323.76190476191,45.209207302993484
2010-02-17,65863,67542,65863,67284,4200304128,0.0217147022200625,65110.22222222222,66203.90476190476,52.678303957166975
2010-02-18,67284,67836,66550,67836,4068338432,0.0082040306759407,65191.11111111111,66149.52380952382,55.21617418696653
2010-02-19,67810,67935,67210,67597,3608861440,-0.0035232030190459,65598.11111111111,66063.66666666667,53.86909751285084
2010-02-22,67598,68119,67035,67184,4028345344,-0.0061097385978667,66089.44444444444,65933.95238095238,51.529615347974726
2010-02-23,67178,67178,65660,66108,4428962304,-0.0160157180281019,66417.77777777778,65834.33333333333,45.93269795103881
2010-02-24,66110,66513,65534,65794,3842718720,-0.0047498033520905,66537.33333333333,65811.66666666667,44.41655912904607
2010-02-25,65765,66324,64428,66121,4701898240,0.0049700580600053,66656.22222222222,65806.95238095238,46.400728265078484
2010-02-26,66117,66510,65607,66503,4920619008,0.0057772870948715,66697.88888888889,65853.61904761905,48.70436484973703
2010-03-01,66510,67397,66510,67227,3842062592,0.0108867269145753,66850.44444444444,65956.38095238095,52.841283154354436
2010-03-02,67227,68249,67227,67779,5131984384,0.0082109866571467,66905.44444444444,66060.76190476191,55.77013460729749
2010-03-03,67779,68813,67481,67641,5786530816,-0.0020360288584959,66883.77777777778,66167.42857142857,54.85294316782793
2010-03-04,67642,68197,66923,67814,4137843200,0.0025576203781729,66907.88888888889,66226.61904761905,55.833566739720226
2010-03-05,67822,68930,67822,68846,5728591872,0.0152180965582329,67092.55555555556,66306.76190476191,61.24179286506396
2010-03-08,68850,69070,68318,68575,4550315520,-0.0039363216454114,67366.66666666667,66376.61904761905,59.192046404963186
2010-03-09,68573,70143,68255,69576,7820790784,0.0145971563981042,67786.88888888889,66645.28571428571,63.98677211724318
2010-03-10,69577,70476,69577,69979,5909522432,0.0057922272047832,68215.55555555556,66988.95238095238,65.73242532625167
2010-03-11,69980,70183,69411,69884,4532294144,-0.0013575501221795,68591.22222222222,67309.47619047618,64.93338770826585
2010-03-12,69900,70486,69341,69341,4190892800,-0.0077700188884437,68826.11111111111,67529.61904761905,60.41296906772814
2010-03-15,69339,69384,68622,69023,3987431168,-0.0045860313523024,68964.33333333333,67718.76190476191,57.872046616374334
2010-03-16,69023,69948,69021,69942,3690661376,0.0133144024455615,69220.0,67900.38095238095,62.74824179368677
2010-03-17,69944,70423,69376,69723,3783383040,-0.0031311658231105,69432.11111111111,68084.61904761905,60.93809870619971
2010-03-18,69725,70127,68972,69697,4304095232,-0.0003729042066462,69526.66666666667,68199.52380952382,60.71416714743018
2010-03-19,69701,69998,68773,68828,4913732096,-0.0124682554485845,69554.77777777778,68246.76190476191,53.6216890257994
2010-03-22,68813,69121,67899,69041,3626454272,0.0030946707735224,69495.33333333333,68315.52380952382,55.0090133179446
2010-03-23,69048,69612,68913,69386,4547057664,0.0049970307498443,69429.44444444444,68420.38095238095,57.24013649557605
2010-03-24,69382,69677,68743,68913,4250716160,-0.0068169371342922,69321.55555555556,68553.95238095238,53.3349929591645
2010-03-25,68915,69571,68376,68441,4168680192,-0.0068492156777385,69221.55555555556,68680.0,49.69176532514149
2010-03-26,68442,68909,68024,68682,4483108864,0.0035212811034321,69183.66666666667,68801.95238095238,51.51297250214802
2010-03-29,68681,69942,68681,69939,4219143424,0.0183017384467545,69183.33333333333,68965.57142857143,59.70630043264603
2010-03-30,69941,70450,69750,69959,4073166848,0.0002859634824632,69209.55555555556,69095.66666666667,59.82263148767012
2010-03-31,69959,70391,69573,70371,4895222272,0.0058891636529967,69284.44444444444,69219.09523809524,62.24104412240014
2010-04-01,70374,71401,70373,71136,4438244864,0.0108709553651362,69540.88888888889,69385.52380952382,66.29760986510769
2010-04-05,71148,71645,71148,71289,3751378176,0.0021508097165992,69790.66666666667,69551.0,67.05982766788756
