date,open,high,low,closed,vol,return
2010-01-05,40.22,40.38,39.9,40.38,157144560,0.006480558325025143
2010-01-06,40.25,40.49,39.7,40.03,192944352,-0.00866765725606744
2010-01-07,39.75,40.05,39.55,39.62,180137872,-0.010242318261304062
2010-01-08,39.78,39.78,38.92,39.02,173860448,-0.01514386673397261
2010-01-11,39.19,39.45,38.15,38.68,237587024,-0.008713480266530071
2010-01-12,38.31,38.73,38.04,38.32,162960032,-0.009307135470527417
2010-01-13,38.4,38.98,38.0,38.44,172588880,0.0031315240083507057
2010-01-14,38.5,38.8,37.7,37.91,175677008,-0.013787721123829422
2010-01-15,37.8,38.29,37.02,37.27,278305120,-0.016882089158533176
2010-01-18,37.4,37.98,37.35,37.6,81208352,0.00885430641266427
2010-01-19,37.3,38.03,37.21,37.5,181418160,-0.0026595744680851796
2010-01-20,37.18,37.27,35.74,36.51,222114608,-0.02640000000000009
2010-01-21,36.62,36.79,35.43,35.84,358007872,-0.018351136674883417
2010-01-22,35.45,36.5,35.38,36.25,205710832,0.011439732142856984
2010-01-26,35.41,36.49,35.05,36.34,193945424,0.0024827586206896957
2010-01-27,36.24,36.24,35.39,35.82,181271104,-0.014309301045679734
2010-01-28,36.22,36.89,35.64,36.89,207327056,0.029871580122836416
2010-01-29,37.12,37.27,35.9,36.13,207005232,-0.0206017891027378
2010-02-01,36.29,37.07,36.1,36.81,164539968,0.01882092443952388
2010-02-02,37.29,37.67,36.82,37.3,170064496,0.013311600108665944
2010-02-03,37.35,37.58,36.71,37.14,131490736,-0.004289544235924869
2010-02-04,36.7,36.9,35.29,35.71,189674688,-0.038502961766289756
2010-02-05,35.33,36.07,33.81,34.8,312269536,-0.025483057966956157
2010-02-08,34.89,35.21,34.42,34.7,184655680,-0.002873563218390607
2010-02-09,35.7,36.45,35.54,36.25,319575008,0.04466858789625361
2010-02-10,36.37,36.68,36.01,36.45,174643216,0.0055172413793105335
2010-02-11,36.45,37.3,35.89,37.09,162243360,0.017558299039780456
2010-02-12,36.6,37.4,36.0,37.08,141983952,-0.00026961445133477646
2010-02-17,37.48,38.03,37.48,37.88,161698592,0.02157497303128375
2010-02-18,37.59,38.0,37.4,38.0,194093648,0.0031678986272438703
2010-02-19,37.7,37.8,37.4,37.4,112905472,-0.015789473684210575
