date,open,high,low,closed,vol,return
2010-01-05,37.38,37.43,36.8,37.0,794327744,-0.008574490889603492
2010-01-06,36.8,37.5,36.8,37.5,697345664,0.013513513513513598
2010-01-07,37.27,37.45,37.07,37.15,408386368,-0.009333333333333416
2010-01-08,37.16,37.39,36.86,36.95,542061952,-0.005383580080753569
2010-01-11,37.21,37.34,36.62,36.83,566849152,-0.0032476319350475125
2010-01-12,36.59,36.68,36.04,36.36,540049728,-0.01276133586749928
2010-01-13,36.56,36.74,35.84,36.3,840384896,-0.0016501650165017256
2010-01-14,36.28,36.46,35.56,35.67,721136512,-0.017355371900826366
2010-01-15,35.57,36.1,35.51,35.75,756590208,0.0022427810485001753
2010-01-18,35.9,36.67,35.77,36.55,840761728,0.022377622377622197
2010-01-19,36.45,36.65,36.24,36.38,615281408,-0.0046511627906975495
2010-01-20,36.1,36.15,35.26,35.45,668141184,-0.025563496426608046
2010-01-21,35.58,35.7,34.29,34.33,852386880,-0.031593794076163695
2010-01-22,34.11,34.8,34.06,34.75,656497152,0.01223419749490251
2010-01-26,34.29,34.34,33.65,33.9,689112256,-0.024460431654676262
2010-01-27,33.9,34.29,33.51,34.11,675391040,0.006194690265486802
2010-01-28,34.6,34.69,33.87,34.61,474578080,0.014658457930225799
2010-01-29,34.78,35.05,33.93,34.17,557368768,-0.012713088702687059
2010-02-01,34.29,34.49,33.9,34.3,543143936,0.003804506877377767
2010-02-02,34.51,34.67,34.06,34.1,523683584,-0.005830903790087327
2010-02-03,34.05,34.18,33.73,34.04,546563520,-0.0017595307917889214
2010-02-04,33.84,33.94,32.12,32.3,798045312,-0.05111633372502944
2010-02-05,31.8,32.27,30.72,31.52,911990336,-0.02414860681114539
2010-02-08,31.8,32.26,31.42,31.74,595332608,0.006979695431472033
2010-02-09,32.2,32.68,32.1,32.24,585596672,0.015752993068683052
2010-02-10,32.33,32.73,31.77,32.64,707089600,0.012406947890818865
2010-02-11,32.89,33.47,32.73,33.36,799493760,0.022058823529411686
2010-02-12,33.0,34.02,32.95,33.8,641149568,0.01318944844124692
2010-02-17,34.39,34.5,34.03,34.25,569344256,0.013313609467455745
2010-02-18,34.24,34.69,33.82,34.69,583635392,0.01284671532846704
2010-02-19,34.42,34.65,34.16,34.35,409788960,-0.009801095416546501
2010-02-22,34.5,34.89,34.41,34.65,686616640,0.008733624454148492
2010-02-23,34.41,34.65,34.0,34.19,580570560,-0.01327561327561333
2010-02-24,34.29,34.35,33.64,33.94,460961376,-0.007312079555425566
2010-02-25,33.48,34.5,33.26,34.38,632682176,0.01296405421331781
2010-02-26,34.59,34.75,34.21,34.61,614412928,0.006689936009307562
2010-03-01,34.82,35.05,34.42,34.93,590228032,0.009245882692863416
2010-03-02,35.25,35.52,35.12,35.12,603852416,0.005439450329229878
2010-03-03,35.28,35.82,35.05,35.15,708339456,0.0008542141230067912
2010-03-04,35.39,35.49,34.81,35.2,494372352,0.0014224751066858055
2010-03-05,35.69,35.92,35.4,35.81,1006740352,0.01732954545454546
2010-03-08,35.94,35.99,35.41,35.7,567692224,-0.0030717676626640378
2010-03-09,35.5,36.85,35.46,36.5,2484231424,0.022408963585434094
2010-03-10,36.88,37.16,36.65,37.0,1189916672,0.013698630136986356
2010-03-11,36.93,37.47,36.81,37.05,722048640,0.0013513513513512265
2010-03-12,37.2,37.41,37.06,37.06,518493728,0.00026990553306349696
2010-03-15,36.76,37.23,36.47,36.77,731158016,-0.007825148407986982
2010-03-16,36.93,37.21,36.7,37.21,473648064,0.011966276856132607
2010-03-17,37.43,37.48,36.93,37.15,383329408,-0.001612469766191893
2010-03-18,37.14,37.4,36.76,37.02,446552320,-0.003499327052489787
2010-03-19,37.0,37.09,36.16,36.23,886050688,-0.0213398163155053
2010-03-22,35.61,36.36,35.5,36.24,485723680,0.0002760143527464898
2010-03-23,36.38,36.42,35.71,35.82,618785152,-0.011589403973509937
2010-03-24,35.8,36.57,35.6,36.09,675923456,0.007537688442211143
2010-03-25,36.33,36.43,35.2,35.2,632961920,-0.024660570795234205
2010-03-26,35.41,35.55,34.3,34.5,1002621952,-0.019886363636363757
2010-03-29,34.74,35.2,34.12,34.9,670385664,0.011594202898550732
2010-03-30,35.09,35.3,34.76,34.8,432364032,-0.002865329512893977
2010-03-31,34.6,35.39,34.51,35.39,580277888,0.0169540229885059
2010-04-01,35.66,35.9,35.55,35.75,490143008,0.010172365074879952
2010-04-05,35.95,36.25,35.82,36.01,437087456,0.0072727272727273196
2010-04-06,35.92,36.41,35.83,36.08,485085568,0.0019439044709803621
2010-04-07,35.94,36.24,35.59,35.8,540947328,-0.0077605321507761005
2010-04-08,35.58,35.9,35.46,35.81,483832992,0.0002793296089387276
2010-04-09,35.8,36.09,35.23,35.23,605518272,-0.016196593130410664
2010-04-12,35.25,35.43,34.28,34.39,1042568896,-0.02384331535623041
2010-04-13,34.47,34.59,33.9,34.19,671995840,-0.005815644082582283
2010-04-14,34.3,34.49,34.05,34.25,595697600,0.0017548990933022868
2010-04-15,34.28,34.45,33.54,33.6,1474462592,-0.01897810218978102
2010-04-16,33.5,33.58,32.72,32.95,1616615424,-0.019345238095238027
2010-04-19,32.6,33.55,32.51,33.55,794934336,0.018209408194233445
2010-04-20,33.8,34.3,33.8,34.3,755675776,0.02235469448584193
2010-04-22,33.9,34.04,33.41,33.86,670134784,-0.01282798833819232
2010-04-23,33.57,34.0,33.54,34.0,415942592,0.0041346721795629815
2010-04-26,34.1,34.18,33.31,33.31,465950176,-0.020294117647058796
2010-04-27,33.07,33.1,32.1,32.1,749683328,-0.036325427799459686
2010-04-28,32.32,33.0,31.9,32.39,560919104,0.00903426791277262
2010-04-29,32.84,33.1,32.52,33.02,392218304,0.01945044766903381
