Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
50,50,3,0.001,0.0021185831865295768
50,50,2,0.001,0.002121411768409113
20,20,3,0.01,0.002129219666433831
50,50,2,0.01,0.0021318886041020355
50,20,3,0.001,0.002133413373182217
20,50,1,0.001,0.0021356656992187104
50,20,2,0.001,0.0021359149056176343
50,20,1,0.001,0.002136125578545034
20,20,2,0.001,0.0021371626062318683
20,20,2,0.01,0.0021384706487879157
20,50,3,0.001,0.00213855120819062
100,50,2,0.01,0.0021395551739260554
100,20,1,0.001,0.0021450904508431754
20,50,2,0.001,0.0021458849466095367
20,50,3,0.01,0.0021462816124161086
100,20,1,0.01,0.0021472389344125986
50,50,1,0.001,0.002148265678746005
20,20,1,0.01,0.002149227812575797
100,50,3,0.01,0.002150752698071301
20,50,1,0.01,0.002151260462900003
100,20,2,0.001,0.0021515903063118458
100,20,3,0.01,0.0021517501833538213
50,50,3,0.01,0.00215247735225906
20,20,1,0.001,0.002155557546454171
100,50,1,0.001,0.002157354960218072
100,50,3,0.001,0.0021588638968144855
100,50,2,0.001,0.002159455131428937
20,50,2,0.01,0.0021603169540564218
20,20,3,0.001,0.0021627899647379913
50,50,1,0.01,0.0021661759043733277
100,20,3,0.001,0.002166896554020544
50,20,3,0.01,0.002167012852927049
50,20,1,0.01,0.0021696844681476555
100,50,1,0.01,0.002171275244715313
50,20,2,0.01,0.0021714062119523683
100,20,2,0.01,0.0021720101358368993
