Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
100,20,3,0.001,0.0031275654522081218
100,20,2,0.001,0.003132240381091833
100,50,3,0.01,0.003135307691991329
100,50,2,0.01,0.003135529812425375
100,50,1,0.01,0.0031386862974613905
100,20,1,0.01,0.0031387260338912406
50,50,3,0.01,0.0031418183352798223
50,20,2,0.001,0.0031436317755530276
100,50,3,0.001,0.0031458602752536535
100,50,2,0.001,0.0031464754914244017
100,20,1,0.001,0.003148370344812671
100,20,2,0.01,0.0031509175120542445
50,20,3,0.001,0.0031596682189653316
100,20,3,0.01,0.0031616472794363895
100,50,1,0.001,0.0031654886746158204
50,20,2,0.01,0.003172714107980331
20,20,2,0.001,0.0031765926784525314
50,50,1,0.001,0.003177985160922011
50,20,1,0.001,0.0031814159204562507
50,50,2,0.001,0.0031820740550756454
20,20,1,0.001,0.0031876180631419024
20,20,3,0.001,0.0031908719489971795
20,50,3,0.001,0.003199141394967834
50,20,3,0.01,0.003202177428950866
20,50,1,0.001,0.0032066842541098595
20,50,2,0.001,0.003207041726758083
50,50,2,0.01,0.003208862617611885
50,50,3,0.001,0.00320928900813063
50,20,1,0.01,0.0032146801240742207
20,20,3,0.01,0.003216272763287028
20,50,3,0.01,0.0032243661116808653
20,20,2,0.01,0.0032501884270459414
50,50,1,0.01,0.003255419277896484
20,20,1,0.01,0.0032752268792440495
20,50,2,0.01,0.0033053765073418617
20,50,1,0.01,0.0033778025147815547
