Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
100,50,2,0.01,0.003135592909529805
100,20,3,0.001,0.0031407218581686416
100,50,3,0.01,0.003144283778965473
100,20,2,0.01,0.0031444253399968147
100,20,2,0.001,0.0031479012686759233
50,20,2,0.01,0.0031544670152167478
100,50,3,0.001,0.00316039410730203
100,20,3,0.01,0.0031613549993683896
20,20,2,0.001,0.003161801490932703
50,20,2,0.001,0.003162525206183394
50,50,3,0.01,0.003165692867090305
50,20,3,0.01,0.003169691034903129
100,50,2,0.001,0.0031697795105477176
50,20,3,0.001,0.0031737569564332566
50,50,2,0.001,0.0031749664340168238
20,50,2,0.01,0.003183910623192787
20,20,2,0.01,0.0031850688780347505
20,20,3,0.001,0.0032125430492063365
50,50,3,0.001,0.0032156544427076974
20,50,2,0.001,0.0032204557986309132
50,50,2,0.01,0.003247325075790286
20,50,3,0.001,0.0032516567346950374
20,20,3,0.01,0.0032982393944015107
20,50,3,0.01,0.0033620152777681747
