Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
100,50,3,0.001,0.0021205960462490716
20,50,3,0.001,0.002121306684178611
100,20,2,0.01,0.002124680943476657
50,20,2,0.01,0.0021260892196247974
50,50,3,0.01,0.0021262470788011947
100,50,3,0.01,0.0021323117737968764
20,50,2,0.001,0.002132718878177305
100,20,3,0.001,0.0021338457008823752
50,20,3,0.001,0.0021358721423894167
100,50,2,0.001,0.0021366399402419725
50,50,3,0.001,0.0021382423971469202
100,20,3,0.01,0.0021452943716819086
50,50,2,0.001,0.0021491504351918897
100,50,2,0.01,0.002152234820338587
50,20,2,0.001,0.0021527926049505672
50,20,3,0.01,0.002155556265885631
20,20,2,0.01,0.0021565736193830767
20,50,2,0.01,0.0021601098900039992
100,20,2,0.001,0.002161372685804963
20,50,3,0.01,0.0021685351384803653
50,50,2,0.01,0.0021746704587712884
20,20,3,0.001,0.0021747524927680693
20,20,2,0.001,0.0021749558315301933
20,20,3,0.01,0.002232401204916338
