C (Regularização),Kernel,Gamma,MSE
0.1,rbf,0.001,0.003128034342377782
0.1,rbf,0.01,0.0032221799790485527
0.1,rbf,scale,0.00325289466761272
1.0,rbf,0.001,0.0032683668509925733
1.0,rbf,0.01,0.00329835927915947
10.0,rbf,0.001,0.003403485082980338
10.0,rbf,0.01,0.0035217793564382345
100.0,rbf,0.001,0.0035437020498871263
0.1,linear,0.01,0.00358968276275777
0.1,linear,scale,0.00358968276275777
0.1,linear,0.001,0.00358968276275777
1.0,rbf,scale,0.0037513024163944053
1.0,linear,0.01,0.0040392989570372
1.0,linear,0.001,0.0040392989570372
1.0,linear,scale,0.0040392989570372
1000.0,rbf,0.001,0.0042386488656720135
100.0,rbf,0.01,0.004692126018975646
10.0,linear,0.01,0.004703209554369874
10.0,linear,scale,0.004703209554369874
10.0,linear,0.001,0.004703209554369874
100.0,linear,0.01,0.005221138893990781
100.0,linear,0.001,0.005221138893990781
100.0,linear,scale,0.005221138893990781
100.0,rbf,scale,0.005301914539607366
10.0,rbf,scale,0.005343448142028473
1000.0,linear,scale,0.005656668997056227
1000.0,linear,0.001,0.005656668997056227
1000.0,linear,0.01,0.005656668997056227
1000.0,rbf,scale,0.007037698903815315
1000.0,rbf,0.01,0.008145185414736281
