C (Regularização),Kernel,Gamma,MAE
0.1,rbf,0.001,0.04023604832917363
0.1,rbf,0.01,0.04106420183913732
1.0,rbf,0.01,0.04175223297686951
1.0,rbf,0.001,0.042148714740514424
0.1,rbf,scale,0.0427944440269225
100.0,rbf,0.001,0.043658960842580696
10.0,rbf,0.001,0.04385142442153563
1.0,rbf,scale,0.0461630056388934
0.1,linear,scale,0.04712380761166538
0.1,linear,0.01,0.04712380761166538
0.1,linear,0.001,0.04712380761166538
10.0,rbf,0.01,0.04790903511188963
1000.0,rbf,0.001,0.04878074460369156
10.0,rbf,scale,0.0527621425757907
100.0,rbf,scale,0.05363235031213471
1000.0,rbf,scale,0.05363235031213471
1.0,linear,scale,0.054913964273100115
1.0,linear,0.01,0.054913964273100115
1.0,linear,0.001,0.054913964273100115
100.0,rbf,0.01,0.05684131490898788
10.0,linear,0.001,0.059704245324893164
10.0,linear,scale,0.059704245324893164
10.0,linear,0.01,0.059704245324893164
100.0,linear,scale,0.06405442819459507
100.0,linear,0.01,0.06405442819459507
100.0,linear,0.001,0.06405442819459507
1000.0,linear,scale,0.06915442088157524
1000.0,linear,0.001,0.06915442088157524
1000.0,linear,0.01,0.06915442088157524
1000.0,rbf,0.01,0.0954279060683017
