C (Regularização),Kernel,Gamma,MAE
0.1,linear,scale,0.09961768698907482
0.1,linear,0.001,0.09961768698907482
1.0,linear,scale,0.09961768698907482
0.1,linear,0.01,0.09961768698907482
10.0,linear,scale,0.09961768698907482
10.0,linear,0.001,0.09961768698907482
1.0,linear,0.01,0.09961768698907482
1.0,linear,0.001,0.09961768698907482
100.0,linear,0.001,0.09961768698907482
1000.0,linear,scale,0.09961768698907482
1000.0,linear,0.01,0.09961768698907482
1000.0,linear,0.001,0.09961768698907482
100.0,linear,scale,0.09961768698907482
100.0,linear,0.01,0.09961768698907482
10.0,linear,0.01,0.09961768698907482
10.0,rbf,0.001,0.10096500875918413
1000.0,rbf,0.001,0.10096500875918413
100.0,rbf,0.001,0.10096500875918413
1.0,rbf,0.001,0.11081597281369375
1000.0,rbf,0.01,0.11216114254098074
10.0,rbf,0.01,0.11216114254098074
1.0,rbf,0.01,0.11216114254098074
100.0,rbf,0.01,0.11216114254098074
0.1,rbf,0.01,0.12255286099423994
0.1,rbf,0.001,0.13578897537534027
0.1,rbf,scale,0.1764255347923439
10.0,rbf,scale,0.17646600713624702
1.0,rbf,scale,0.17646600713624702
100.0,rbf,scale,0.17646600713624702
1000.0,rbf,scale,0.17646600713624702
