C (Regularização),Kernel,Gamma,MAE
1.0,rbf,0.001,0.04160134676123272
1.0,rbf,0.01,0.041696658768541305
10.0,rbf,0.001,0.04262668983274843
100.0,rbf,0.001,0.043512974831125394
10.0,rbf,0.01,0.043726828652127854
1.0,rbf,scale,0.045175696534116204
1.0,linear,0.001,0.04752908894423424
1.0,linear,scale,0.04752908894423424
1.0,linear,0.01,0.04752908894423424
1000.0,rbf,0.001,0.04859214443606789
10.0,linear,0.01,0.052107249892034004
10.0,linear,scale,0.052107249892034004
10.0,linear,0.001,0.052107249892034004
100.0,rbf,0.01,0.05260233670493403
10.0,rbf,scale,0.054144917015149875
100.0,linear,scale,0.05436891887047344
100.0,linear,0.01,0.05436891887047344
100.0,linear,0.001,0.05436891887047344
100.0,rbf,scale,0.054847843051714605
1000.0,linear,scale,0.056930347977609964
1000.0,linear,0.01,0.056930347977609964
1000.0,linear,0.001,0.056930347977609964
1000.0,rbf,scale,0.0619124627392334
1000.0,rbf,0.01,0.06949501924014227
