C (Regularização),Kernel,Gamma,MSE
10.0,rbf,0.001,0.0021093692033512124
1.0,rbf,0.01,0.0021094114029081364
1.0,rbf,0.001,0.0021101300926242655
0.1,rbf,0.01,0.00211013501472646
0.1,rbf,0.001,0.00211031837728139
0.1,linear,0.01,0.0021308255658584498
0.1,linear,0.001,0.0021308255658584498
0.1,linear,scale,0.0021308255658584498
10.0,rbf,0.01,0.002152756929736249
100.0,rbf,0.001,0.0021530364137471347
1.0,linear,0.01,0.0022298421404224385
1.0,linear,0.001,0.0022298421404224385
1.0,linear,scale,0.0022298421404224385
0.1,rbf,scale,0.002240495292045439
100.0,rbf,0.01,0.0022632147087518484
1000.0,rbf,0.001,0.002264507814131067
1000.0,rbf,0.01,0.0023029763323706297
10.0,linear,0.01,0.002308894260068852
10.0,linear,scale,0.002308894260068852
10.0,linear,0.001,0.002308894260068852
100.0,linear,0.01,0.0023111512807434433
100.0,linear,scale,0.0023111512807434433
100.0,linear,0.001,0.0023111512807434433
1000.0,linear,0.01,0.0023136655000939523
1000.0,linear,0.001,0.0023136655000939523
1000.0,linear,scale,0.0023136655000939523
10.0,rbf,scale,0.0023341138673447677
1.0,rbf,scale,0.0023341138673447677
100.0,rbf,scale,0.0023341138673447677
1000.0,rbf,scale,0.0023341138673447677
