Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MAE
50,50,2,0.001,0.04429790625969569
50,20,2,0.001,0.06527299558122952
20,50,2,0.001,0.07283637175957362
50,50,3,0.001,0.08348049223423004
50,20,3,0.001,0.08458152661720912
20,20,2,0.001,0.08578895032405853
20,50,3,0.001,0.09645852198203404
20,20,3,0.001,0.11312734584013621
50,20,2,0.01,0.1511583849787712
20,50,2,0.01,0.186117189625899
20,20,2,0.01,0.19140450656414032
50,50,2,0.01,0.19899678230285645
20,20,3,0.01,0.20319043596585593
20,50,3,0.01,0.2034091999133428
50,20,3,0.01,0.21316811442375183
50,50,3,0.01,0.21354726950327554
