C (Regularização),Kernel,Gamma,MAE
0.1,rbf,0.001,0.043249525808756066
0.1,rbf,0.01,0.04357992630462688
1.0,rbf,0.001,0.04362207521274731
0.1,rbf,scale,0.04552216200905528
10.0,rbf,0.001,0.04588255010207202
0.1,linear,0.01,0.04758492647875001
0.1,linear,0.001,0.04758492647875001
0.1,linear,scale,0.04758492647875001
1.0,rbf,0.01,0.04767366830507122
100.0,rbf,0.001,0.04988530169463914
1.0,linear,0.01,0.050152334266133546
1.0,linear,scale,0.050152334266133546
1.0,linear,0.001,0.050152334266133546
1.0,rbf,scale,0.05056750790090111
10.0,linear,0.001,0.05380572733924755
10.0,linear,scale,0.05380572733924755
10.0,linear,0.01,0.05380572733924755
100.0,linear,0.01,0.056838293192914745
100.0,linear,0.001,0.056838293192914745
100.0,linear,scale,0.056838293192914745
10.0,rbf,0.01,0.05772249453798862
1000.0,linear,0.01,0.0587988795821443
1000.0,linear,0.001,0.0587988795821443
1000.0,linear,scale,0.0587988795821443
1000.0,rbf,0.001,0.06586459578368824
10.0,rbf,scale,0.07172515403040293
1000.0,rbf,scale,0.07348297512009089
100.0,rbf,scale,0.07360422110092647
100.0,rbf,0.01,0.07532805152340503
1000.0,rbf,0.01,0.08132421504088563
