Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MAE
20,20,2,0.01,0.04346230501929919
20,20,3,0.001,0.0435238778591156
20,20,3,0.01,0.043580700953801475
50,50,3,0.01,0.04395424698789915
20,50,3,0.01,0.044220756739377975
50,20,3,0.01,0.044779397547245026
20,50,3,0.001,0.04480081424117088
50,20,2,0.01,0.045384179800748825
50,50,2,0.01,0.046930612375338875
50,20,2,0.001,0.04709934443235397
50,20,3,0.001,0.04731014867623647
50,50,3,0.001,0.047592081129550934
20,50,2,0.01,0.04771611218651136
20,20,2,0.001,0.04804309085011482
20,50,2,0.001,0.04976306358973185
50,50,2,0.001,0.05177647744615873
