C (Regularização),Kernel,Gamma,MAE
0.1,rbf,0.001,0.04329736951990495
0.1,rbf,0.01,0.04359996240613397
1.0,rbf,0.001,0.04360573020277963
0.1,rbf,scale,0.04579701849014292
10.0,rbf,0.001,0.0459838900688295
0.1,linear,0.01,0.04731760923101217
0.1,linear,0.001,0.04731760923101217
0.1,linear,scale,0.04731760923101217
1.0,rbf,0.01,0.048135779178478964
1.0,rbf,scale,0.04976917986869545
1.0,linear,scale,0.05215831781469393
1.0,linear,0.001,0.05215831781469393
1.0,linear,0.01,0.05215831781469393
100.0,rbf,0.001,0.05317234168727338
100.0,rbf,scale,0.05566694169110287
1000.0,rbf,scale,0.05566694169110287
10.0,rbf,scale,0.055766155783723736
10.0,linear,scale,0.0570620120663882
10.0,linear,0.001,0.0570620120663882
10.0,linear,0.01,0.0570620120663882
10.0,rbf,0.01,0.05834210707670687
1000.0,rbf,0.001,0.058742000790171195
100.0,linear,scale,0.0616588386360065
100.0,linear,0.001,0.0616588386360065
100.0,linear,0.01,0.0616588386360065
1000.0,linear,0.01,0.06294337545539151
1000.0,linear,scale,0.06294337545539151
1000.0,linear,0.001,0.06294337545539151
100.0,rbf,0.01,0.065951361007224
1000.0,rbf,0.01,0.07127600154845848
