C (Regularização),Kernel,Gamma,MSE
0.1,rbf,0.001,0.0038354423014324776
1.0,rbf,0.001,0.0038400134211308066
0.1,rbf,0.01,0.003847082495799091
10.0,rbf,0.001,0.003890223527905992
1.0,rbf,0.01,0.00405103842462472
0.1,rbf,scale,0.004111760482283046
0.1,linear,0.001,0.0042116935467965
0.1,linear,scale,0.0042116935467965
0.1,linear,0.01,0.0042116935467965
1.0,linear,scale,0.004679745408518533
1.0,linear,0.01,0.004679745408518533
1.0,linear,0.001,0.004679745408518533
1.0,rbf,scale,0.004821034172855353
100.0,rbf,0.001,0.005234278227068886
10.0,linear,0.001,0.005328642090675802
10.0,linear,scale,0.005328642090675802
10.0,linear,0.01,0.005328642090675802
100.0,linear,0.01,0.005711203818182942
100.0,linear,0.001,0.005711203818182942
100.0,linear,scale,0.005711203818182942
1000.0,linear,0.001,0.0057889787083428455
1000.0,linear,0.01,0.0057889787083428455
1000.0,linear,scale,0.0057889787083428455
10.0,rbf,0.01,0.005923865715833619
1000.0,rbf,0.001,0.0071849653895832
100.0,rbf,0.01,0.009339868025939373
1000.0,rbf,0.01,0.009541979583390692
10.0,rbf,scale,0.010304940972298003
100.0,rbf,scale,0.01644014404602086
1000.0,rbf,scale,0.017229169121727048
