C (Regularização),Kernel,Gamma,MAE
0.1,rbf,0.001,0.043249525808756066
0.1,rbf,0.01,0.04357992630462688
1.0,rbf,0.001,0.04362207521274731
0.1,rbf,scale,0.04552216200905528
10.0,rbf,0.001,0.045882550102072074
0.1,linear,0.01,0.04758492647875009
0.1,linear,0.001,0.04758492647875009
0.1,linear,scale,0.04758492647875009
1.0,rbf,0.01,0.04767366830507123
100.0,rbf,0.001,0.04988530169463854
1.0,linear,0.01,0.05015233426613717
1.0,linear,scale,0.05015233426613717
1.0,linear,0.001,0.05015233426613717
1.0,rbf,scale,0.05056750790090112
10.0,linear,0.001,0.05380572733922232
10.0,linear,scale,0.05380572733922232
10.0,linear,0.01,0.05380572733922232
100.0,linear,0.01,0.05683829319331766
100.0,linear,0.001,0.05683829319331766
100.0,linear,scale,0.05683829319331766
10.0,rbf,0.01,0.05772249453798852
1000.0,linear,0.01,0.0588237966565661
1000.0,linear,0.001,0.0588237966565661
1000.0,linear,scale,0.0588237966565661
1000.0,rbf,0.001,0.0658645957836819
10.0,rbf,scale,0.07172515403040308
1000.0,rbf,scale,0.07348297512009129
100.0,rbf,scale,0.07360422110092683
100.0,rbf,0.01,0.07532805152340444
1000.0,rbf,0.01,0.08132421504089972
