C (Regularização),Kernel,Gamma,MAE
0.1,rbf,0.001,0.04305674032888903
1.0,rbf,0.001,0.0440706852212866
0.1,rbf,0.01,0.044872978013938775
0.1,rbf,scale,0.04837535097933015
10.0,rbf,scale,0.05116017535029175
1.0,linear,0.01,0.054105184663173926
1.0,linear,0.001,0.054105184663173926
1.0,linear,scale,0.054105184663173926
10.0,rbf,0.001,0.054241966268770946
100.0,rbf,scale,0.05436761711101661
1000.0,rbf,scale,0.05436761711101661
0.1,linear,0.01,0.057852768936495914
0.1,linear,scale,0.057852768936495914
0.1,linear,0.001,0.057852768936495914
10.0,linear,0.001,0.05867538244850564
10.0,linear,scale,0.05867538244850564
10.0,linear,0.01,0.05867538244850564
1.0,rbf,scale,0.0597392958066183
1.0,rbf,0.01,0.05985467028522105
100.0,linear,scale,0.06477362344762343
100.0,linear,0.01,0.06477362344762343
100.0,linear,0.001,0.06477362344762343
1000.0,rbf,0.001,0.06590382157700353
100.0,rbf,0.001,0.06845373773166095
1000.0,linear,0.01,0.07048297785572898
1000.0,linear,0.001,0.07048297785572898
1000.0,linear,scale,0.07048297785572898
10.0,rbf,0.01,0.07355797303889267
100.0,rbf,0.01,0.08538290079766925
1000.0,rbf,0.01,0.14556878629009448
