C (Regularização),Kernel,Gamma,MAE
0.1,linear,scale,0.034909038479650656
0.1,linear,0.001,0.034909038479650656
1.0,linear,scale,0.034909038479650656
0.1,linear,0.01,0.034909038479650656
10.0,linear,scale,0.034909038479650656
10.0,linear,0.001,0.034909038479650656
1.0,linear,0.01,0.034909038479650656
1.0,linear,0.001,0.034909038479650656
100.0,linear,0.001,0.034909038479650656
1000.0,linear,scale,0.034909038479650656
1000.0,linear,0.01,0.034909038479650656
1000.0,linear,0.001,0.034909038479650656
100.0,linear,scale,0.034909038479650656
100.0,linear,0.01,0.034909038479650656
10.0,linear,0.01,0.034909038479650656
100.0,rbf,0.001,0.0367247593133325
1000.0,rbf,0.001,0.0367247593133325
10.0,rbf,0.001,0.04790248131802787
10.0,rbf,0.01,0.06021847495290785
1000.0,rbf,0.01,0.06021847495290785
100.0,rbf,0.01,0.06021847495290785
1.0,rbf,0.001,0.06981173494220379
1.0,rbf,0.01,0.07185641542978409
0.1,rbf,0.01,0.08229936752527522
0.1,rbf,0.001,0.09912838100646328
100.0,rbf,scale,0.12455039083669028
1.0,rbf,scale,0.12455039083669028
10.0,rbf,scale,0.12455039083669028
1000.0,rbf,scale,0.12455039083669028
0.1,rbf,scale,0.1249497237857801
