C (Regularização),Kernel,Gamma,MAE
1.0,rbf,0.001,0.04316798362585653
10.0,rbf,0.001,0.04356873361711636
1.0,rbf,0.01,0.044588988944180924
1.0,linear,0.001,0.049250461751069396
1.0,linear,0.01,0.049250461751069396
1.0,linear,scale,0.049250461751069396
1.0,rbf,scale,0.04988645738377856
100.0,rbf,0.001,0.05108836668553388
10.0,linear,0.01,0.05342630396660567
10.0,linear,scale,0.05342630396660567
10.0,linear,0.001,0.05342630396660567
10.0,rbf,0.01,0.05468203506944321
100.0,linear,0.001,0.05530849923641179
100.0,linear,scale,0.05530849923641179
100.0,linear,0.01,0.05530849923641179
1000.0,linear,scale,0.055694621474782664
1000.0,linear,0.01,0.055694621474782664
1000.0,linear,0.001,0.055694621474782664
1000.0,rbf,0.001,0.060776995600943184
100.0,rbf,0.01,0.06922968242802363
1000.0,rbf,0.01,0.07089294171315239
10.0,rbf,scale,0.0730454518377245
100.0,rbf,scale,0.08970502431944793
1000.0,rbf,scale,0.09319155655120574
