C (Regularização),Kernel,Gamma,MAE
1.0,rbf,0.001,0.04316798362585653
10.0,rbf,0.001,0.043568733617116294
1.0,rbf,0.01,0.044588988944180924
1.0,linear,0.001,0.049250461751068696
1.0,linear,0.01,0.049250461751068696
1.0,linear,scale,0.049250461751068696
1.0,rbf,scale,0.04988645738377858
100.0,rbf,0.001,0.051088366685533605
10.0,linear,0.01,0.05342630396659137
10.0,linear,scale,0.05342630396659137
10.0,linear,0.001,0.05342630396659137
10.0,rbf,0.01,0.05468203506944336
100.0,linear,0.001,0.05530849923650879
100.0,linear,scale,0.05530849923650879
100.0,linear,0.01,0.05530849923650879
1000.0,linear,scale,0.05568832389429738
1000.0,linear,0.01,0.05568832389429738
1000.0,linear,0.001,0.05568832389429738
1000.0,rbf,0.001,0.0607769956009419
100.0,rbf,0.01,0.06922968242802469
1000.0,rbf,0.01,0.07089294171314092
10.0,rbf,scale,0.07304545183772457
100.0,rbf,scale,0.08970502431945016
1000.0,rbf,scale,0.09319155655120519
