Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
20,20,2,0.01,0.003939518084128697
20,50,2,0.01,0.003950780723243952
20,50,1,0.001,0.004058365011587739
50,20,2,0.01,0.004129751507813732
20,50,2,0.001,0.004145812010392547
20,20,2,0.001,0.004190998384729028
50,20,2,0.001,0.004197475578015049
50,50,2,0.01,0.004217291949316859
20,20,1,0.01,0.004311682345966498
50,50,1,0.01,0.004394564001510541
50,50,1,0.001,0.004446395983298619
50,50,2,0.001,0.004474517268439134
20,50,1,0.01,0.004516009862224261
50,20,1,0.01,0.004663054210444291
50,20,1,0.001,0.004834952298551798
20,20,1,0.001,0.004924742815395196
