Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
20,20,1,0.001,0.002128236345015466
50,50,2,0.001,0.00213164354984959
20,50,2,0.001,0.0021333437180146575
50,20,2,0.001,0.002137737348675728
10,20,1,0.001,0.002141379479629298
50,20,1,0.01,0.002141935440401236
10,50,2,0.001,0.002142373084401091
10,20,2,0.001,0.002142447008130451
50,50,1,0.01,0.002142805101660391
50,20,2,0.01,0.002144199601995448
10,20,1,0.01,0.0021443182292083898
50,50,2,0.01,0.0021461284874627986
20,20,2,0.001,0.0021512366365641356
50,50,1,0.001,0.0021527531013513603
20,50,1,0.001,0.002153946397205194
50,20,1,0.001,0.0021574400986234346
20,20,2,0.01,0.002158719658230742
20,50,1,0.01,0.002164643917543193
10,50,1,0.001,0.002169987070374191
20,20,1,0.01,0.002194743797493478
10,50,2,0.01,0.0022099118990202746
20,50,2,0.01,0.0022338738975425563
10,50,1,0.01,0.002248946654920777
10,20,2,0.01,0.0022801829036325216
