C (Regularização),Kernel,Gamma,MSE
0.1,rbf,0.001,0.0038354423014324776
1.0,rbf,0.001,0.0038400134211308066
0.1,rbf,0.01,0.003847082495799091
10.0,rbf,0.001,0.003890223527905992
1.0,rbf,0.01,0.00405103842462472
0.1,rbf,scale,0.004111760482283046
0.1,linear,0.001,0.0042116935467965
0.1,linear,scale,0.0042116935467965
0.1,linear,0.01,0.0042116935467965
1.0,linear,scale,0.004679745408518533
1.0,linear,0.01,0.004679745408518533
1.0,linear,0.001,0.004679745408518533
1.0,rbf,scale,0.004821034172855353
10.0,linear,scale,0.005328642090675802
10.0,linear,0.001,0.005328642090675802
10.0,linear,0.01,0.005328642090675802
10.0,rbf,0.01,0.005923865715833619
10.0,rbf,scale,0.010304940972298003
